description;population;start_date;end_date;location;zones;annee_scolaire
Vacances de Printemps;;2019-04-13;2019-04-29;Besançon;Zone A;2018-2019
Vacances d'Été;Enseignants;2019-07-06;2019-08-30;Besançon;Zone A;2018-2019
Pont de l'Ascension;;2020-05-20;2020-05-25;Besançon;Zone A;2019-2020
Vacances de Noël;;2020-12-19;2021-01-04;Besançon;Zone A;2020-2021
Pont de l'Ascension;;2021-05-13;2021-05-17;Besançon;Zone A;2020-2021
Vacances d'Été;Enseignants;2019-07-06;2019-08-30;Bordeaux;Zone A;2018-2019
Vacances d'Été;;2020-07-04;2020-09-01;Bordeaux;Zone A;2019-2020
Vacances d'Hiver;;2021-02-06;2021-02-22;Bordeaux;Zone A;2020-2021
Pont de l'Ascension;;2021-05-13;2021-05-17;Bordeaux;Zone A;2020-2021
Vacances d'Hiver;;2018-02-10;2018-02-26;Clermont-Ferrand;Zone A;2017-2018
Vacances d'Été;Enseignants;2018-07-07;2018-08-31;Clermont-Ferrand;Zone A;2017-2018
Vacances de la Toussaint;;2018-10-20;2018-11-05;Clermont-Ferrand;Zone A;2018-2019
Vacances d'Été;Élèves;2019-07-06;2019-09-02;Clermont-Ferrand;Zone A;2018-2019
Vacances de Noël;;2019-12-21;2020-01-06;Clermont-Ferrand;Zone A;2019-2020
Vacances d'Été;;2021-07-05;;Clermont-Ferrand;Zone A;2020-2021
Vacances de la Toussaint;;2017-10-21;2017-11-06;Dijon;Zone A;2017-2018
Vacances de Printemps;;2018-04-07;2018-04-23;Dijon;Zone A;2017-2018
Vacances d'Été;Enseignants;2018-07-07;2018-08-31;Dijon;Zone A;2017-2018
Vacances d'Été;Enseignants;2019-07-06;2019-08-30;Dijon;Zone A;2018-2019
Vacances de Printemps;;2020-04-18;2020-05-04;Dijon;Zone A;2019-2020
Vacances d'Été;;2020-07-04;2020-09-01;Dijon;Zone A;2019-2020
Vacances de Printemps;;2021-04-10;2021-04-26;Dijon;Zone A;2020-2021
Vacances de Noël;;2018-12-22;2019-01-07;Grenoble;Zone A;2018-2019
Pont de l'Ascension;;2020-05-20;2020-05-25;Grenoble;Zone A;2019-2020
Vacances d'Été;;2020-07-04;2020-09-01;Grenoble;Zone A;2019-2020
Vacances de Printemps;;2021-04-10;2021-04-26;Grenoble;Zone A;2020-2021
Vacances de la Toussaint;;2019-10-19;2019-11-04;Limoges;Zone A;2019-2020
Vacances de Noël;;2019-12-21;2020-01-06;Limoges;Zone A;2019-2020
Vacances d'Hiver;;2020-02-22;2020-03-09;Limoges;Zone A;2019-2020
Pont de l'Ascension;;2021-05-13;2021-05-17;Limoges;Zone A;2020-2021
Vacances de la Toussaint;;2017-10-21;2017-11-06;Lyon;Zone A;2017-2018
Vacances de la Toussaint;;2018-10-20;2018-11-05;Lyon;Zone A;2018-2019
Vacances d'Été;Enseignants;2019-07-06;2019-08-30;Lyon;Zone A;2018-2019
Vacances d'Hiver;;2020-02-22;2020-03-09;Lyon;Zone A;2019-2020
Vacances d'Été;Enseignants;2018-07-07;2018-08-31;Poitiers;Zone A;2017-2018
Pont de l'Ascension;;2020-05-20;2020-05-25;Poitiers;Zone A;2019-2020
Vacances de Noël;;2020-12-19;2021-01-04;Poitiers;Zone A;2020-2021
Vacances de Noël;;2017-12-23;2018-01-08;Aix-Marseille;Zone B;2017-2018
Vacances d'Été;Élèves;2018-07-07;2018-09-03;Aix-Marseille;Zone B;2017-2018
Vacances d'Été;Élèves;2019-07-06;2019-09-02;Aix-Marseille;Zone B;2018-2019
Vacances de la Toussaint;;2020-10-17;2020-11-02;Aix-Marseille;Zone B;2020-2021
Vacances de Noël;;2020-12-19;2021-01-04;Aix-Marseille;Zone B;2020-2021
Vacances de Noël;;2017-12-23;2018-01-08;Amiens;Zone B;2017-2018
Vacances de Printemps;;2018-04-21;2018-05-07;Amiens;Zone B;2017-2018
Vacances d'Été;Enseignants;2019-07-06;2019-08-30;Amiens;Zone B;2018-2019
Vacances de Noël;;2019-12-21;2020-01-06;Amiens;Zone B;2019-2020
Vacances d'Hiver;;2020-02-15;2020-03-02;Amiens;Zone B;2019-2020
Vacances de Printemps;;2021-04-24;2021-05-10;Amiens;Zone B;2020-2021
Vacances de Printemps;;2018-04-21;2018-05-07;Caen;Zone B;2017-2018
Vacances de Noël;;2018-12-22;2019-01-07;Caen;Zone B;2018-2019
Vacances de la Toussaint;;2019-10-19;2019-11-04;Caen;Zone B;2019-2020
Vacances de Noël;;2019-12-21;2020-01-06;Caen;Zone B;2019-2020
Vacances de Noël;;2020-12-19;2021-01-04;Normandie;Zone B;2020-2021
Vacances d'Été;;2021-07-05;;Normandie;Zone B;2020-2021
Vacances de la Toussaint;;2017-10-21;2017-11-06;Lille;Zone B;2017-2018
Vacances d'Été;Enseignants;2019-07-06;2019-08-30;Lille;Zone B;2018-2019
Vacances de Noël;;2020-12-19;2021-01-04;Lille;Zone B;2020-2021
Vacances d'Été;Élèves;2019-07-06;2019-09-02;Nancy-Metz;Zone B;2018-2019
Vacances d'Hiver;;2020-02-15;2020-03-02;Nancy-Metz;Zone B;2019-2020
Vacances de la Toussaint;;2020-10-17;2020-11-02;Nancy-Metz;Zone B;2020-2021
Vacances de Noël;;2020-12-19;2021-01-04;Nancy-Metz;Zone B;2020-2021
Vacances d'Hiver;;2021-02-20;2021-03-08;Nancy-Metz;Zone B;2020-2021
Vacances de Printemps;;2021-04-24;2021-05-10;Nancy-Metz;Zone B;2020-2021
Vacances de Printemps;;2019-04-06;2019-04-23;Nantes;Zone B;2018-2019
Pont de l'Ascension;;2019-05-29;2019-06-03;Nantes;Zone B;2018-2019
Pont de l'Ascension;;2020-05-20;2020-05-25;Nantes;Zone B;2019-2020
Vacances d'Été;;2020-07-04;2020-09-01;Nantes;Zone B;2019-2020
Vacances de la Toussaint;;2018-10-20;2018-11-05;Nice;Zone B;2018-2019
Vacances de Printemps;;2019-04-06;2019-04-23;Nice;Zone B;2018-2019
Pont de l'Ascension;;2019-05-29;2019-06-03;Nice;Zone B;2018-2019
Vacances d'Hiver;;2018-02-24;2018-03-12;Orléans-Tours;Zone B;2017-2018
Vacances d'Été;Élèves;2018-07-07;2018-09-03;Orléans-Tours;Zone B;2017-2018
Vacances d'Hiver;;2020-02-15;2020-03-02;Orléans-Tours;Zone B;2019-2020
Vacances de Printemps;;2020-04-11;2020-04-27;Orléans-Tours;Zone B;2019-2020
Vacances d'Hiver;;2021-02-20;2021-03-08;Orléans-Tours;Zone B;2020-2021
Vacances d'Été;Élèves;2018-07-07;2018-09-03;Reims;Zone B;2017-2018
